264
_4_
31	121	 
Î	È	Í	Å	À	Ò	Ñ	Ì	Ë	Â	Ð	Ê	Ï	Ä	ß	Ü	Û	Ç	Á	Ó	É	Ã	Õ	×	Ö	Þ	Æ	Ù	Ý	Ô	Ø	
1	1	8	3	1	4	13	6	7	10	3	2	5	7	1	0	0	6	6	0	6	3	0	1	1	0	3	0	0	0	0	
2	4	9	3	0	4	3	5	3	4	3	5	2	2	7	0	0	7	2	1	3	0	3	2	1	1	0	0	0	0	0	
12	12	4	9	9	7	5	0	0	0	0	1	0	1	1	0	6	0	0	1	0	2	0	0	0	0	0	0	0	0	0	
4	0	13	2	2	11	9	4	4	1	7	0	3	1	0	0	0	0	0	0	1	2	0	1	0	0	2	0	1	0	0	
1	1	8	3	0	9	4	4	7	3	0	3	2	3	2	0	0	1	3	0	0	3	2	1	3	1	1	0	1	0	1	
15	8	2	7	13	1	3	1	0	4	3	0	1	1	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	1	1	0	2	17	1	1	2	0	0	4	3	0	5	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	
8	6	4	4	5	0	0	0	0	1	0	1	0	1	1	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
6	5	1	5	4	0	0	0	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
8	2	2	5	5	1	0	1	2	0	2	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
2	6	0	8	7	1	1	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
12	1	0	0	4	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	
8	2	0	2	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
0	3	2	3	6	0	1	0	1	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	
0	3	3	0	1	1	2	2	0	3	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	
1	1	7	0	0	1	2	0	0	1	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	
0	1	0	1	0	1	2	6	2	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	
1	3	2	0	4	0	0	4	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
2	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	4	0	0	2	0	0	1	0	0	0	0	1	0	0	0	
0	0	1	0	0	0	2	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	3	1	2	0	0	0	
1	2	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	
4	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	
0	2	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	5	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	
0	1	2	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
_5_
31	177	 
Î	È	Å	Ò	Í	Ñ	À	Ð	Ì	Â	Ä	Ë	Ê	ß	Ï	Ç	×	Û	Ó	Ã	Á	Ü	É	Õ	Æ	Þ	Ô	Ý	Ù	Ø	Ö	
3	4	0	10	5	15	0	4	11	11	13	4	6	1	8	4	5	0	0	5	11	0	9	0	5	0	0	0	0	2	0	
6	0	4	5	9	11	0	0	4	1	1	4	7	7	3	9	6	0	0	0	1	0	1	2	0	0	1	0	0	0	1	
0	0	0	1	18	13	0	2	15	5	8	7	3	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	
27	9	2	1	3	4	1	6	0	11	0	0	0	0	1	2	2	2	1	0	0	4	0	0	0	0	0	0	0	0	0	
17	9	11	7	5	5	8	0	2	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	
11	2	2	18	0	2	0	0	3	0	1	7	5	4	1	1	0	0	1	0	0	3	0	6	0	0	0	0	0	0	0	
0	5	3	4	9	3	0	0	5	3	2	1	7	0	1	5	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	
9	4	11	0	0	0	12	0	0	0	0	0	1	2	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	
13	2	12	0	3	1	1	0	0	2	1	0	0	1	2	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	6	5	2	0	4	3	7	2	0	1	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	7	5	0	2	4	2	9	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	5	6	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	2	0	0	3	0	0	0	1	0	0	0	0	0	
11	6	0	0	1	1	7	0	0	1	0	1	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	
0	3	0	1	5	1	0	0	1	4	3	2	1	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	
7	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	4	0	1	1	0	10	0	0	1	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
0	4	2	11	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	4	5	1	1	0	0	0	1	0	2	0	0	2	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	
0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	1	1	0	0	
7	3	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	0	0	2	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
0	1	0	2	1	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
7	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
_6_
31	216	 
Î	Å	Ò	È	Í	À	Ð	Ñ	Â	Ì	Ë	Ï	Ê	ß	Ä	Ü	Ó	×	Ã	Þ	Ç	Á	É	Û	Æ	Õ	Ù	Ý	Ô	Ø	Ö	
1	6	8	1	8	0	16	10	12	4	11	12	1	1	11	0	1	8	8	0	2	4	8	0	4	0	0	1	0	0	0	
0	4	4	1	24	3	20	5	2	12	9	5	4	2	8	0	0	2	6	0	3	3	3	0	1	1	1	1	0	1	0	
35	8	3	9	1	6	1	3	4	0	0	1	0	2	0	15	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
0	1	10	5	8	1	9	6	1	8	3	2	3	3	2	0	0	4	1	2	3	2	2	0	2	4	0	1	0	1	0	
17	20	3	7	3	8	0	0	1	1	0	1	0	4	0	1	5	0	1	0	0	0	0	2	0	0	0	0	1	0	0	
1	1	17	2	2	0	0	2	3	3	9	3	8	2	0	0	0	5	0	7	2	1	0	0	0	0	2	0	0	0	1	
9	14	3	8	1	10	0	0	3	1	0	0	1	3	1	2	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1	5	13	1	3	1	0	0	1	0	1	3	9	6	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
5	9	2	10	2	6	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	
12	14	0	2	2	3	1	1	2	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	
2	4	0	3	0	8	0	1	0	0	0	1	0	3	0	12	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	
8	7	0	11	0	1	7	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22	1	1	2	0	3	0	2	1	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	4	3	1	0	0	2	5	3	0	4	1	0	3	0	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	
5	11	0	0	4	4	0	1	4	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	1	4	6	1	0	2	0	4	0	1	5	1	0	0	0	3	1	0	3	0	0	0	0	0	0	0	0	0	0	
1	0	4	0	1	3	0	1	3	1	0	1	0	1	3	0	0	1	1	7	0	0	0	0	1	0	1	1	0	0	0	
0	5	13	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	5	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
0	0	4	2	1	0	0	3	2	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	
1	0	0	1	1	7	0	0	1	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
3	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	5	0	2	0	0	0	0	0	
1	0	0	1	0	0	4	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
0	3	0	0	0	0	0	4	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	
0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
_7_
31	232	 
Î	Å	Í	Ò	À	È	Ñ	Ë	Ê	Ð	Â	Ï	Ì	Ü	Ó	Ä	ß	Û	×	Á	Ç	Æ	É	Þ	Ù	Ã	Ô	Õ	Ø	Ý	Ö	
3	3	8	12	0	1	20	26	2	6	7	9	5	0	3	3	1	0	10	8	3	11	7	0	0	5	0	1	0	2	0	
4	3	28	24	0	1	13	7	6	7	4	2	3	0	1	8	2	0	1	2	1	1	1	0	5	2	4	0	0	0	0	
23	14	10	2	27	17	2	0	1	0	0	0	1	9	0	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	1	
24	15	5	1	9	11	7	2	2	5	5	4	1	17	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	
0	4	9	11	1	6	14	11	13	11	1	1	6	0	0	1	6	0	0	2	6	1	0	3	0	0	1	0	1	0	0	
3	6	16	12	1	2	9	1	6	1	1	5	8	0	0	4	2	0	4	1	4	0	1	0	0	1	1	1	0	0	1	
3	2	0	21	1	1	0	7	6	0	15	6	0	0	6	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	4	4	0	18	10	0	0	0	1	0	1	0	11	9	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
21	1	0	2	13	5	2	1	0	1	0	0	1	0	4	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	
4	7	2	1	14	17	0	0	0	1	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	16	3	0	6	2	2	4	0	0	0	2	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
23	2	0	0	1	0	0	0	0	13	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
