5
[JAC]
N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô	
400	586	173	204	242	239	185	196	163	262	328	306	304	310	424	402	326	248	245	246	322	319	308	377	360	407	429	405	471	457	424	391	5	
600	1479	311	342	437	421	252	247	208	381	548	426	478	526	806	783	546	319	340	323	447	559	506	761	692	763	814	757	1108	940	955	853	10	
800	2252	280	317	407	390	246	205	167	348	546	405	453	528	930	839	541	274	281	254	343	583	512	805	737	835	944	856	1459	1157	1290	1099	15	
1000	3062	323	321	402	385	249	255	209	370	596	432	464	587	1012	944	576	293	290	245	320	637	591	849	828	956	1065	970	1861	1316	1625	1388	19	
1200	4877	301	274	444	391	261	245	204	373	645	421	447	593	1207	1147	565	249	261	189	299	646	632	933	852	977	1231	1078	2382	1608	2165	1782	20	
1400	5732	305	269	365	341	225	236	205	340	617	362	455	619	1178	1103	487	202	206	162	254	518	595	897	945	1055	1173	1100	2680	1515	2329	1818	29	
1600	4891	283	222	328	305	184	194	158	265	498	315	349	474	890	831	378	171	170	116	196	336	465	722	764	873	884	782	2366	1131	2024	1450	21	
1800	4420	197	157	203	176	127	124	108	191	323	188	241	358	623	592	256	100	103	81	128	252	307	479	532	621	711	570	1843	851	1546	1138	16	
1800	43	1	0	1	1	0	0	0	1	1	0	1	2	0	2	0	0	0	0	1	3	2	2	3	2	3	3	19	7	15	7	17	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	

[DAT]
N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô	
400	586	268	364	321	305	238	258	238	315	418	392	404	459	439	471	429	312	300	368	360	435	334	491	506	459	462	499	533	474	454	434	4	
600	1479	458	767	613	602	353	449	405	570	861	739	681	959	1004	1011	876	569	602	682	607	874	604	1049	1184	1048	932	1077	1256	1087	1057	993	10	
800	2252	525	927	707	702	366	457	410	612	1078	925	734	1189	1282	1287	1061	652	693	835	685	1103	688	1361	1560	1340	1118	1460	1750	1451	1403	1310	19	
1000	3062	541	1070	793	785	433	542	479	697	1218	1090	787	1331	1470	1491	1170	734	803	903	745	1217	766	1649	1842	1600	1274	1800	2216	1722	1781	1594	19	
1200	4877	641	1278	898	976	456	568	485	851	1467	1177	973	1567	1835	1772	1373	734	840	1006	883	1504	853	2030	2366	1895	1443	2318	3013	2111	2460	2072	24	
1400	5732	617	1161	839	806	445	480	398	782	1450	1072	909	1581	1737	1739	1182	609	803	944	823	1430	796	2090	2361	2004	1454	2244	3266	2163	2498	1964	37	
1600	4891	437	845	588	582	283	332	287	567	1040	763	648	1199	1231	1298	813	446	566	705	605	970	567	1517	1822	1531	1090	1671	2514	1682	1921	1451	20	
1800	4420	370	624	469	408	202	230	191	443	805	521	511	890	942	968	594	288	358	444	401	703	409	1185	1377	1116	826	1312	1948	1221	1535	1139	22	
1800	43	4	9	8	10	4	4	4	8	10	10	6	8	12	9	2	4	5	5	3	5	3	13	16	12	7	11	21	14	17	12	23	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	

[MAP]
N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô	
400	586	195	232	239	257	155	204	178	225	300	230	290	298	381	358	272	201	206	196	254	282	278	376	338	374	382	380	456	400	412	349	5	
600	1479	308	348	360	403	231	300	262	275	491	326	396	476	653	678	422	255	269	237	321	461	482	674	592	664	658	703	1041	831	885	696	10	
800	2252	311	380	353	410	216	329	291	266	501	285	378	459	663	736	382	244	253	207	281	451	495	645	662	731	684	767	1318	922	1144	910	17	
1000	3062	368	405	388	450	227	329	295	253	532	283	372	460	688	752	402	172	212	158	222	442	550	678	709	763	782	804	1638	1025	1429	1054	17	
1200	4877	326	393	385	455	195	413	393	236	601	234	358	490	775	870	379	191	198	137	196	406	576	688	745	770	903	842	2046	1214	1882	1375	15	
1400	5732	356	392	372	447	178	447	423	239	581	202	345	506	747	814	301	156	151	122	178	350	574	677	844	828	807	840	2285	1112	1989	1338	27	
1600	4891	308	323	277	347	142	316	296	178	454	136	231	372	543	621	196	114	126	89	126	247	412	476	635	631	602	581	2000	867	1664	1012	20	
1800	4420	219	222	179	236	96	284	266	103	324	88	160	273	374	449	162	69	102	48	88	181	301	319	450	434	457	404	1487	587	1302	768	15	
1800	43	0	0	1	1	0	1	1	1	2	1	0	0	2	2	1	0	1	1	1	0	2	4	4	2	3	1	15	4	12	3	11	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	

[DJ]
N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô	
